title,description,pic_phone,category,max_slots,training_status,link,address,start_date,end_date,mentor
Digital Marketing Masterclass,Pelatihan komprehensif strategi pemasaran digital media sosial dan SEO untuk UMKM pemuda.,08123456701,Digital & IPTEK,30,ongoing,https://example.com/digital-marketing,Gedung Pemuda Kreatif Lt. 2 Bandung,2026-10-01,2026-10-05,Ahmad Fauzi
Strategi Agribisnis Modern dan Hidroponik,Pelatihan budidaya pertanian presisi berbasis hidroponik dan agribisnis perkotaan.,08123456702,Wirausaha & Agribisnis,25,planned,https://example.com/agribisnis,Balai Pelatihan Pertanian Lembang,2026-11-10,2026-11-12,Dr. Hendra Gunawan
Kriya Anyaman Bambu Kontemporer,Workshop pembuatan kerajinan bambu dengan desain modern bernilai ekspor.,08123456703,Kriya & Kreativitas,20,completed,https://example.com/kriya-bambu,Sentra Seni dan Budaya Sunda Bandung,2026-08-15,2026-08-17,Siti Nurhaliza
Pelatihan Manajemen Keuangan Pemuda Mandiri,Edukasi pembukuan praktis cashflow management dan akses modal perbankan bagi wirausaha pemula.,08123456704,Wirausaha & Agribisnis,50,ongoing,https://example.com/manajemen-keuangan,Aula Dinas Pemuda dan Olahraga Bandung,2026-09-20,2026-09-22,Budi Santoso S.E.
Pengembangan Web Modern dengan Golang & Vue,Bootcamp intensif dasar pengembangan aplikasi web fullstack untuk talenta digital masa depan.,08123456705,Digital & IPTEK,25,planned,https://example.com/fullstack-bootcamp,Bandung Digital Hub Ruang Komputasi 3,2026-11-01,2026-11-07,Rizky Pratama
Workshop Keramik dan Tembikar Kreatif,Pelatihan seni tanah liat dasar sampai teknik pembakaran dan pemasaran produk kriya lokal.,08123456706,Kriya & Kreativitas,15,planned,https://example.com/keramik-kreatif,Studio Seni Rupa Kriya Bandung,2026-10-15,2026-10-16,Dian Anggraini
Manajemen Ekosistem Komunitas Pemuda Kreatif,Peningkatan kapasitas tata kelola organisasi komunitas kepemudaan dan aktivasi program sosial.,08123456707,Komunitas & Pemuda,,completed,https://example.com/komunitas-pemuda,Youth Space Creative Hub Bandung,2026-07-10,2026-07-11,Fajar Ramadhan
Sains Kebugaran dan Nutrisi Atlet Muda,Pelatihan fisik dasar manajemen nutrisi dan pencegahan cedera bagi pelatih dan penggiat olahraga.,08123456708,Olahraga & Prestasi,40,ongoing,https://example.com/olahraga-prestasi,Stadion Gelora Pemuda Bandung,2026-09-18,2026-09-19,Coach Bambang Irianto
Fotografi Produk dan Konten Komersial,Teknik fotografi produk menggunakan smartphone dan kamera mirrorless untuk branding e-commerce.,08123456709,Digital & IPTEK,30,planned,https://example.com/fotografi-produk,Creative Hub Co-working Space Bandung,2026-10-25,2026-10-26,Maya Kusuma
Kewirausahaan Sablon dan Distro Lokal,Pelatihan teknik sablon manual dan digital DTF serta strategi bisnis clothing line pemuda.,08123456710,Kriya & Kreativitas,20,completed,https://example.com/sablon-clothing,Workshop Sablon Mandiri Bandung,2026-06-01,2026-06-03,Eko Prasetyo
